    0.18873E+03   -0.97493E+01    0.67086E-04   -0.41734E+01   -0.77172E+01
    0.15281E+02   -0.82575E+01    0.33038E+01    0.51902E+00   -0.23380E+00
   -0.85188E+02   -0.39726E+02    0.14362E-04   -0.48428E+01   -0.92609E+01
    0.29170E+02   -0.30814E+03    0.19335E-06   -0.67137E+01   -0.13239E+02
   -0.11866E+03   -0.17260E+03    0.49238E-06   -0.63077E+01   -0.11925E+02
    0.73816E+02   -0.55038E+01    0.32784E+01    0.51566E+00    0.27331E+00
    0.18010E+03   -0.26718E+03    0.25836E-06   -0.65878E+01   -0.12899E+02
    0.17126E+03   -0.23792E+03    0.29995E-06   -0.65229E+01   -0.12645E+02
    0.27565E+03   -0.10590E+03    0.12365E-05   -0.59078E+01   -0.11355E+02
    0.18369E+03   -0.11404E+02    0.82358E-04   -0.40843E+01   -0.74312E+01
    0.13799E+03   -0.57142E+01    0.17487E-01   -0.17573E+01   -0.34093E+01
    0.20251E+02   -0.26467E+02    0.79117E-01   -0.11017E+01   -0.36245E+01
   -0.62006E+02   -0.28379E+03    0.25919E-06   -0.65864E+01   -0.13036E+02
    0.27366E+03   -0.80190E+02    0.43636E-06   -0.63602E+01   -0.11147E+02
    0.16982E+03   -0.88455E+02    0.35600E-04   -0.44485E+01   -0.94551E+01
   -0.31561E+02   -0.41263E+02    0.12640E-02   -0.28982E+01   -0.68181E+01
    0.69027E+02   -0.20874E+03    0.99229E-06   -0.60034E+01   -0.11958E+02
    0.67509E+03   -0.94701E+02    0.48258E-09   -0.93164E+01   -0.15915E+02
    0.13658E+03   -0.43089E+01    0.32460E-01   -0.14887E+01   -0.29181E+01
    0.17073E+03   -0.75951E+02    0.51587E-04   -0.42875E+01   -0.88131E+01
    0.36370E+03   -0.46009E+02    0.15937E-06   -0.67976E+01   -0.12287E+02
    0.20517E+02   -0.11755E+02    0.27187E+01    0.43435E+00   -0.96749E+00
    0.16158E+03   -0.40517E+02    0.45957E-03   -0.33376E+01   -0.70579E+01
    0.15724E+03   -0.19119E+02    0.25546E-02   -0.25927E+01   -0.58804E+01
    0.19969E+03   -0.33734E+03    0.58038E-07   -0.72363E+01   -0.13950E+02
    0.14311E+02   -0.74513E+01    0.30790E+01    0.48841E+00    0.18066E-02
