    0.18873E+03   -0.97493E+01    0.43221E+03    0.26357E+01
    0.15281E+02   -0.82575E+01    0.44426E+03    0.26476E+01
   -0.85188E+02   -0.39726E+02    0.43972E+03    0.26432E+01
    0.29170E+02   -0.30814E+03    0.43357E+03    0.26371E+01
   -0.11866E+03   -0.17260E+03    0.43417E+03    0.26377E+01
    0.73816E+02   -0.55038E+01    0.19924E+03    0.22994E+01
    0.18010E+03   -0.26718E+03    0.43338E+03    0.26369E+01
    0.17126E+03   -0.23792E+03    0.43367E+03    0.26372E+01
    0.27565E+03   -0.10590E+03    0.43371E+03    0.26372E+01
    0.18369E+03   -0.11404E+02    0.43146E+03    0.26349E+01
    0.13799E+03   -0.57142E+01    0.37006E+03    0.25683E+01
    0.20251E+02   -0.26467E+02    0.71327E+03    0.28533E+01
   -0.62006E+02   -0.28379E+03    0.43354E+03    0.26370E+01
    0.27366E+03   -0.80190E+02    0.43358E+03    0.26371E+01
    0.16982E+03   -0.88455E+02    0.43910E+03    0.26426E+01
   -0.31561E+02   -0.41263E+02    0.46870E+03    0.26709E+01
    0.69027E+02   -0.20874E+03    0.43513E+03    0.26386E+01
    0.67509E+03   -0.94701E+02    0.43243E+03    0.26359E+01
    0.13658E+03   -0.43089E+01    0.36712E+03    0.25648E+01
    0.17073E+03   -0.75951E+02    0.43884E+03    0.26423E+01
    0.36370E+03   -0.46009E+02    0.43290E+03    0.26364E+01
    0.20517E+02   -0.11755E+02    0.11037E+04    0.30428E+01
    0.16158E+03   -0.40517E+02    0.43532E+03    0.26388E+01
    0.15724E+03   -0.19119E+02    0.42170E+03    0.26250E+01
    0.19969E+03   -0.33734E+03    0.43301E+03    0.26365E+01
    0.14311E+02   -0.74513E+01    0.31888E+03    0.25036E+01
   -0.40580E+02   -0.99052E+01    0.45626E+03    0.26592E+01
    0.12545E+03   -0.52948E+01    0.26646E+03    0.24256E+01
   -0.32135E+02   -0.34447E+02    0.46996E+03    0.26721E+01
    0.11242E+03   -0.90084E+01    0.21515E+03    0.23327E+01
    0.73190E+02   -0.62058E+01    0.20195E+03    0.23053E+01
   -0.97424E+02   -0.10098E+03    0.43665E+03    0.26401E+01
    0.83373E+02   -0.19116E+03    0.43567E+03    0.26392E+01
   -0.23507E+03   -0.24751E+03    0.43290E+03    0.26364E+01
    0.12628E+03   -0.18021E+02    0.34742E+03    0.25409E+01
    0.11714E+02   -0.12248E+02    0.65723E+03    0.28177E+01
    0.17216E+02   -0.26531E+02    0.68594E+03    0.28363E+01
    0.91197E+01   -0.26492E+02    0.64018E+03    0.28063E+01
    0.11056E+03   -0.55358E+01    0.24470E+03    0.23886E+01
    0.37587E+03   -0.33516E+02    0.43285E+03    0.26363E+01
    0.14729E+03   -0.18541E+02    0.40864E+03    0.26113E+01
   -0.23577E+01   -0.29396E+02    0.57862E+03    0.27624E+01
   -0.76978E+01   -0.26398E+01    0.13133E+05    0.41184E+01
    0.31701E+02   -0.10679E+02    0.10863E+04    0.30359E+01
    0.32143E+03   -0.26902E+03    0.43274E+03    0.26362E+01
   -0.37768E+02   -0.30699E+03    0.43350E+03    0.26370E+01
    0.48362E+02   -0.64380E+02    0.48185E+03    0.26829E+01
    0.12366E+03   -0.19254E+02    0.35862E+03    0.25546E+01
   -0.58604E+02   -0.12053E+03    0.43820E+03    0.26417E+01
    0.13747E+03    0.45016E+00    0.37727E+03    0.25767E+01
    0.26907E+03   -0.90602E+02    0.43374E+03    0.26372E+01
    0.15472E+03   -0.41318E+02    0.43630E+03    0.26398E+01
    0.51359E+02   -0.47583E+01    0.15377E+03    0.21869E+01
    0.77236E+01   -0.66620E+01    0.29422E+03    0.24687E+01
    0.88222E+02   -0.55574E+01    0.17659E+03    0.22470E+01
    0.23070E+02   -0.32382E+02    0.63161E+03    0.28004E+01
    0.18037E+03   -0.22305E+02    0.43216E+03    0.26356E+01
    0.13461E+02   -0.12132E+02    0.70360E+03    0.28473E+01
    0.13293E+03   -0.27961E+01    0.36279E+03    0.25597E+01
    0.71998E+02   -0.14300E+02    0.84634E+03    0.29275E+01
    0.12447E+03   -0.28335E+03    0.43356E+03    0.26371E+01
    0.57236E+03   -0.27528E+03    0.43243E+03    0.26359E+01
    0.91500E+02   -0.95232E+01    0.32940E+03    0.25177E+01
    0.79622E+02   -0.10022E+02    0.84791E+03    0.29283E+01
    0.29473E+03   -0.11386E+03    0.43346E+03    0.26369E+01
   -0.83553E+01   -0.36206E+01    0.38973E+04    0.35908E+01
    0.84004E+01   -0.72207E+01    0.32566E+03    0.25128E+01
   -0.89973E+02   -0.18139E+02    0.43696E+03    0.26404E+01
    0.48610E+02   -0.23831E+02    0.68272E+03    0.28342E+01
    0.64235E+03   -0.93070E+02    0.43245E+03    0.26359E+01
   -0.43197E+02   -0.28866E+02    0.46015E+03    0.26629E+01
    0.74459E+02   -0.21215E+02    0.12031E+04    0.30803E+01
    0.66958E+02   -0.11204E+02    0.37477E+03    0.25738E+01
    0.13496E+03   -0.14586E+01    0.37162E+03    0.25701E+01
    0.80549E+02   -0.84828E+01    0.64942E+03    0.28125E+01
    0.15784E+03   -0.14898E+02    0.42087E+03    0.26241E+01
    0.16245E+02   -0.75351E+01    0.43776E+03    0.26412E+01
    0.87426E+02   -0.60949E+01    0.17690E+03    0.22477E+01
    0.76180E+02   -0.18538E+02    0.12304E+04    0.30900E+01
   -0.44403E+02   -0.87202E+01    0.45195E+03    0.26551E+01
    0.80705E+02   -0.11811E+02    0.10336E+04    0.30143E+01
    0.36918E+02   -0.10482E+02    0.94845E+03    0.29770E+01
    0.60541E+03   -0.27782E+03    0.43243E+03    0.26359E+01
    0.62488E+02   -0.80334E+01    0.25517E+03    0.24068E+01
    0.45179E+02   -0.95545E+01    0.12454E+04    0.30953E+01
    0.54073E+03   -0.99802E+02    0.43249E+03    0.26360E+01
    0.10870E+03   -0.10160E+02    0.23018E+03    0.23621E+01
    0.22162E+03   -0.14185E+02    0.43370E+03    0.26372E+01
    0.11143E+03   -0.63611E+01    0.21610E+03    0.23347E+01
    0.68098E+02   -0.98430E+01    0.26878E+03    0.24294E+01
    0.10509E+03   -0.21129E+02    0.46896E+03    0.26711E+01
    0.20498E+03   -0.16845E+03    0.43424E+03    0.26377E+01
   -0.19931E+03   -0.55851E+02    0.43329E+03    0.26368E+01
    0.41273E+03   -0.46702E+02    0.43273E+03    0.26362E+01
    0.11195E+03   -0.11059E+02    0.24783E+03    0.23942E+01
   -0.24217E+01   -0.74491E+02    0.45686E+03    0.26598E+01
    0.16380E+03   -0.33616E+03    0.43319E+03    0.26367E+01
    0.79422E+02   -0.13769E+02    0.12655E+04    0.31023E+01
    0.28379E+02   -0.34590E+03    0.43342E+03    0.26369E+01
    0.90501E+02   -0.11217E+02    0.40106E+03    0.26032E+01
    0.80642E+02   -0.23614E+03    0.43449E+03    0.26380E+01
    0.14342E+03   -0.76422E+02    0.44515E+03    0.26485E+01
    0.25731E+02   -0.64597E+02    0.47861E+03    0.26800E+01
    0.29026E+02   -0.58363E+02    0.49186E+03    0.26918E+01
    0.41162E+02   -0.19175E+02    0.11292E+04    0.30528E+01
    0.83210E+01   -0.13072E+02    0.65418E+03    0.28157E+01
   -0.18680E+03   -0.62688E+02    0.43343E+03    0.26369E+01
   -0.10556E+03   -0.19016E+03    0.43425E+03    0.26377E+01
   -0.82492E+02   -0.10396E+03    0.43754E+03    0.26410E+01
    0.16230E+03   -0.70738E+02    0.44002E+03    0.26435E+01
    0.13915E+03    0.15626E+00    0.38100E+03    0.25809E+01
   -0.96539E+02   -0.15748E+02    0.43623E+03    0.26397E+01
