    0.18873E+03   -0.97493E+01    0.36183E+03    0.25585E+01
    0.15281E+02   -0.82575E+01    0.47844E+03    0.26798E+01
   -0.85188E+02   -0.39726E+02    0.12133E+04    0.30840E+01
    0.29170E+02   -0.30814E+03    0.66895E+03    0.28254E+01
   -0.11866E+03   -0.17260E+03    0.87083E+03    0.29399E+01
    0.73816E+02   -0.55038E+01    0.35553E+03    0.25509E+01
    0.18010E+03   -0.26718E+03    0.54975E+03    0.27402E+01
    0.17126E+03   -0.23792E+03    0.54601E+03    0.27372E+01
    0.27565E+03   -0.10590E+03    0.46407E+03    0.26666E+01
    0.18369E+03   -0.11404E+02    0.35293E+03    0.25477E+01
    0.13799E+03   -0.57142E+01    0.29270E+03    0.24664E+01
    0.20251E+02   -0.26467E+02    0.53818E+03    0.27309E+01
   -0.62006E+02   -0.28379E+03    0.75336E+03    0.28770E+01
    0.27366E+03   -0.80190E+02    0.44969E+03    0.26529E+01
    0.16982E+03   -0.88455E+02    0.43513E+03    0.26386E+01
   -0.31561E+02   -0.41263E+02    0.13544E+04    0.31317E+01
    0.69027E+02   -0.20874E+03    0.62340E+03    0.27948E+01
    0.67509E+03   -0.94701E+02    0.48409E+03    0.26849E+01
    0.13658E+03   -0.43089E+01    0.30224E+03    0.24804E+01
    0.17073E+03   -0.75951E+02    0.41403E+03    0.26170E+01
    0.36370E+03   -0.46009E+02    0.46450E+03    0.26670E+01
    0.20517E+02   -0.11755E+02    0.46243E+03    0.26650E+01
    0.16158E+03   -0.40517E+02    0.35479E+03    0.25500E+01
    0.15724E+03   -0.19119E+02    0.31805E+03    0.25025E+01
    0.19969E+03   -0.33734E+03    0.54556E+03    0.27368E+01
    0.14311E+02   -0.74513E+01    0.43300E+03    0.26365E+01
   -0.40580E+02   -0.99052E+01    0.22002E+04    0.33425E+01
    0.12545E+03   -0.52948E+01    0.24960E+03    0.23972E+01
   -0.32135E+02   -0.34447E+02    0.15788E+04    0.31983E+01
    0.11242E+03   -0.90084E+01    0.19988E+03    0.23008E+01
    0.73190E+02   -0.62058E+01    0.37306E+03    0.25718E+01
   -0.97424E+02   -0.10098E+03    0.96524E+03    0.29846E+01
    0.83373E+02   -0.19116E+03    0.60095E+03    0.27788E+01
